"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"HOLOTYPE OF ANOLIS  STEINBACHI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:308","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS ADLERI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS BAHORUCOENSIS SOUTHERLANDI, SCHWARTZ, 1978, J. HERPETOL., 12:357","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS BALEATUS SAMANAE, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:130","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS BALEATUS SCELESTUS, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:135","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS BALEATUS SUBLIMIS, SCHWARTZ, 1974, BULL. MUS. COMP. ZOOL., 146:124","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS BONAIRENSIS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS COBANENSIS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS CORTEZI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS CRISTATELLUS COOKI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS EQUESTRIS PALARDIS, SCHWARTZ, 1964, BULL. MUS. COMP. ZOOL., 131:416","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS EUGENEGRAHAMI, SCHWARTZ, 1978, ANN. CARNEGIE MUS., 47:266","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS FOWLERI, SCHWARTZ, 1973, ANN. CARNEGIE MUS., 44:186","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS GAIGEI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS HAGUEI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS KIDDERI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS RUTHVENI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS SOLITARIUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ANOLIS STEINBACHI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:308","holotype",,1,"John Wieczorek","2017-08-25"
